"编号","姓名","性别","年龄","学历","职称","工资","住址","电话"
"1000","尹岚","女","37","2","3","5541","中国东莞环区南街二巷355号45栋","7692077521"
"1001","于嘉伦","男","31","2","3","5265","中国深圳龙岗区布吉镇西环路613号22室","7551454734"
"1002","侯璐","女","55","2","5","5305","中国上海市浦东新区橄榄路932号华润大厦7室","2123813164"
"1003","潘岚","女","44","2","5","5568","中国广州市海珠区江南西路244号17栋","17116574589"
"1004","林璐","女","49","3","3","5218","中国深圳罗湖区田贝一路550号15号楼","18095907555"
"1005","杜璐","女","47","2","4","5015","中国北京市房山区岳琉路468号46号楼","1035814758"
"1006","陆宇宁","男","52","2","5","5917","中国上海市闵行区宾川路365号1号楼","17763107611"
"1007","毛宇宁","男","54","2","4","5091","中国东莞珊瑚路698号15栋","76955531883"
"1008","陶致远","男","42","1","2","5544","中国上海市浦东新区健祥路783号1楼","19214595662"
"1009","周杰宏","男","55","3","4","5814","中国成都市成华区玉双路6号5号14栋","18502161164"
"1010","于秀英","女","40","2","2","5868","中国成都市成华区双庆路258号华润大厦48室","19368819932"
"1011","龚云熙","男","37","2","4","5826","中国北京市東城区東直門內大街257号50室","14694188174"
"1012","曹睿","男","37","2","1","5677","中国深圳龙岗区布吉镇西环路377号16号楼","75589654791"
"1013","萧岚","女","28","2","2","5489","中国上海市闵行区宾川路145号44室","17562832505"
"1014","任嘉伦","男","49","1","2","5155","中国广州市白云区机场路棠苑街五巷200号15楼","13337127677"
"1015","侯宇宁","男","34","3","2","5661","中国东莞环区南街二巷619号华润大厦23室","14869124749"
"1016","梁晓明","男","31","1","3","5307","中国北京市西城区西長安街653号1室","108787844"
"1017","谭睿","男","53","2","5","5998","中国上海市浦东新区健祥路836号11楼","2192797467"
"1018","唐睿","男","34","2","2","5512","中国上海市浦东新区健祥路829号42室","13020864137"
"1019","常杰宏","男","50","3","4","5362","中国成都市锦江区人民南路四段439号44栋","2851988906"
"1020","陆嘉伦","男","37","3","4","5830","中国北京市朝阳区三里屯路901号14号楼","14847839515"
"1021","曹嘉伦","男","29","2","2","5712","中国东莞坑美十五巷968号31栋","76973596715"
"1022","廖安琪","女","45","1","5","5464","中国深圳福田区深南大道895号38楼","7557311441"
"1023","马璐","女","48","3","4","5880","中国深圳罗湖区清水河一路59号14室","13920368514"
"1024","于子异","男","36","2","3","5387","中国上海市浦东新区橄榄路717号华润大厦49室","215816100"
"1025","段岚","女","30","2","5","5997","中国东莞环区南街二巷539号华润大厦34室","16158234349"
"1026","许睿","男","39","2","3","5272","中国东莞环区南街二巷725号15栋","14285552603"
"1027","黄晓明","男","28","3","2","5911","中国上海市闵行区宾川路3号1室","15264785474"
"1028","侯詩涵","女","37","2","5","5508","中国东莞坑美十五巷588号16栋","7695393794"
"1029","谭子异","男","31","1","1","5458","中国北京市海淀区清河中街68号618号35号楼","104264640"
"1030","谭嘉伦","男","30","2","1","5300","中国成都市锦江区红星路三段334号14号楼","284312206"
"1031","谢震南","男","53","1","2","5958","中国中山京华商圈华夏街317号22室","7604627286"
"1032","向岚","女","28","1","4","5222","中国东莞环区南街二巷195号38号楼","14534062754"
"1033","熊子韬","男","55","3","2","5654","中国广州市白云区小坪东路249号48楼","15038919180"
"1034","崔睿","男","47","2","3","5140","中国中山京华商圈华夏街192号41室","17257008982"
"1035","刘震南","男","48","2","5","5087","中国深圳福田区景田东一街839号44楼","19505636139"
"1036","汪詩涵","女","29","2","3","5506","中国中山京华商圈华夏街721号22楼","76041447927"
"1037","何宇宁","男","44","2","3","5887","中国中山乐丰六路281号13楼","7607725770"
"1038","丁安琪","女","51","2","2","5723","中国东莞坑美十五巷638号42号楼","76902417110"
"1039","潘嘉伦","男","46","3","4","6000","中国北京市朝阳区三里屯路188号20栋","13325373866"
"1040","黄璐","女","41","2","3","5965","中国北京市延庆区028县道684号29室","1013317645"
"1041","秦杰宏","男","48","1","2","5010","中国北京市東城区東直門內大街296号华润大厦39室","15223969597"
"1042","贾睿","男","31","2","1","5675","中国中山京华商圈华夏街797号36栋","76067121141"
"1043","戴詩涵","女","28","3","1","5097","中国深圳罗湖区田贝一路586号华润大厦30室","16337281285"
"1044","邓致远","男","33","1","4","5262","中国中山天河区大信商圈大信南路395号15室","76070248352"
"1045","韦致远","男","26","3","3","5912","中国东莞东泰五街336号10室","76964745550"
"1046","罗子异","男","41","2","2","5130","中国上海市浦东新区健祥路545号23号楼","14750453784"
"1047","金宇宁","男","55","2","2","5993","中国北京市西城区西長安街237号华润大厦24室","1025765015"
"1048","曹岚","女","46","1","4","5779","中国深圳龙岗区学园一巷565号36号楼","75553208853"
"1049","江秀英","女","51","3","1","5839","中国上海市徐汇区虹桥路985号3室","214550575"
"1050","孙秀英","女","30","3","3","5830","中国广州市白云区机场路棠苑街五巷683号23号楼","202501983"
"1051","江睿","男","40","3","3","5186","中国上海市闵行区宾川路151号5室","19558003746"
"1052","袁子韬","男","53","3","2","5864","中国深圳龙岗区布吉镇西环路626号华润大厦17室","17117929445"
"1053","丁云熙","男","53","1","3","5507","中国成都市成华区二仙桥东三路22号42室","2805446768"
"1054","陆杰宏","男","35","2","2","5605","中国上海市浦东新区健祥路325号23栋","2115421616"
"1055","郝晓明","男","29","1","4","5550","中国成都市锦江区人民南路四段406号46室","18196898276"
"1056","夏詩涵","女","32","2","5","5714","中国东莞坑美十五巷539号31号楼","76930194307"
"1057","林致远","男","32","1","2","5664","中国上海市黄浦区淮海中路15号3栋","2121301428"
"1058","朱安琪","女","27","3","4","5798","中国广州市白云区小坪东路104号25楼","13573928924"
"1059","尹宇宁","男","44","2","4","5271","中国广州市白云区机场路棠苑街五巷453号华润大厦5室","202631641"
"1060","魏岚","女","28","2","4","5093","中国中山京华商圈华夏街949号华润大厦19室","7600348981"
"1061","罗子韬","男","26","2","3","5598","中国深圳福田区深南大道218号12栋","14971320466"
"1062","周云熙","男","35","3","1","5648","中国广州市白云区机场路棠苑街五巷930号5栋","15426078390"
"1063","傅安琪","女","36","2","3","5973","中国深圳龙岗区布吉镇西环路679号43号楼","7559913172"
